numeral_id,order,source_witness_id,source_path,source_appendix_line,semantic_series,spanish_expression_ocr,cora_expression_ocr,raw_line_ocr,separator_type,record_status,authority_status,human_verified
ORT1888-num-001,1,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,4,general_count,Una.,CWut.,Una. — CWut.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-002,2,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,5,general_count,Dos.,Huahpoa.,Dos. — Huahpoa.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-003,3,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,6,general_count,Tres.,Hur/e/ca.,Tres.— Hur/e/ca.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-004,4,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,7,general_count,Cuatro.,"Moácua,","Cuatro. — Moácua,",em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-005,5,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,8,general_count,Cinco.,Amxube.,Cinco. — Amxube.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-006,6,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,9,general_count,Seis.,Acevi.,Seis. — Acevi.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-007,7,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,10,general_count,Siete.,Ahuapoa.,Siete.— Ahuapoa.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-008,8,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,19,general_count,Ocho.--,Ahufltf  i  ca .,Ocho.--— Ahufltf  i  ca .,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-009,9,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,21,general_count,Nueve,sAmoácua.,Nueve— sAmoácua.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-010,10,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,23,general_count,Diez.,Tamoá  mata.,Diez. — Tamoá  mata.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-011,11,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,25,general_count,Once.,">Tamoániata.  apoan.  ceaut:  es  decir,  sobre  diez  uno.","Once.— >Tamoániata.  apoan.  ceaut:  es  decir,  sobre  diez  uno.",em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-012,12,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,28,general_count,Veinte.,Ceitevi.,Veinte.  —  Ceitevi.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-013,13,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,30,general_count,Veinte  y  una.,Ceitevi  apoan.   cenut.,Veinte  y  una.  —  Ceitevi  apoan.   cenut.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-014,14,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,32,general_count,Veinte  y  dos.,Ceitevi.  apoan.  Huáppoa.  &.,Veinte  y  dos. — Ceitevi.  apoan.  Huáppoa.  &.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-015,15,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,34,general_count,Treinta.,Ceitevi.  apoan.  tamonmata.,Treinta. — Ceitevi.  apoan.  tamonmata.,em_dash,machine_extracted_explicit_pair,machine_derived,False
ORT1888-num-016,16,ORTEGA1888-TEPIC-IA,data/appendices/numerals_ocr.txt,36,general_count,Treinta  y  uno.,Ceitevi.  apoan.   tamoámata.  apoan.  ceaut.,Treinta  y  uno. — Ceitevi.  apoan.   tamoámata.  apoan.  ceaut.,em_dash,machine_extracted_explicit_pair,machine_derived,False
